City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Iqaluit,CA,63.7506,-68.5145,-0.31,77,75,25.32,broken clouds
323,Whitehorse,CA,60.7161,-135.0538,19.09,93,100,6.87,overcast clouds
324,Mahajanga,MG,-15.7167,46.3167,85.53,62,15,5.97,few clouds
325,Islamkot,PK,24.6997,70.177,103.14,10,100,13.76,overcast clouds
326,Fourmies,FR,50.0153,4.0478,50.38,70,100,16.15,overcast clouds
327,Egvekinot,RU,66.3167,-179.1667,-19.5,89,27,8.41,scattered clouds
328,Tessalit,ML,20.1986,1.0114,103.91,4,0,5.06,clear sky
329,Pitimbu,BR,-7.4706,-34.8086,84.79,70,82,8.1,broken clouds
330,Mandalgovi,MN,45.7625,106.2708,47.68,36,18,7.43,few clouds
331,Sabancuy,MX,18.9667,-91.1833,78.78,77,12,10.49,few clouds
332,Divnomorskoye,RU,44.5011,38.1353,51.6,62,2,5.61,clear sky
333,Batagay,RU,67.6333,134.6333,-8.81,100,100,1.19,overcast clouds
334,Grafton,US,42.207,-71.6856,45.9,84,100,9.22,light rain
335,Torbay,CA,47.6666,-52.7314,35.53,91,100,25.32,light rain
336,Kaitangata,NZ,-46.2817,169.8464,47.08,73,100,14.52,overcast clouds
337,Brownsville,US,25.9018,-97.4975,75.15,90,100,5.75,mist
338,Dudinka,RU,69.4058,86.1778,29.62,96,100,10.74,light snow
339,Malanje,AO,-9.5402,16.341,82.6,54,42,4.18,scattered clouds
340,Monchegorsk,RU,67.9397,32.8739,32.63,86,100,6.71,overcast clouds
341,Grand Gaube,MU,-20.0064,57.6608,81.37,76,100,5.99,overcast clouds
342,Khanpur,PK,28.6453,70.6567,100.72,5,0,1.07,clear sky
343,Churhat,IN,24.428,81.6703,93.79,6,7,6.78,clear sky
344,Bull Savanna,JM,17.8868,-77.5902,77.14,73,72,10.0,broken clouds
